gene,SS0124_S14,SS0126_S16,SS0122_S12,SS0127_S17,SS0123_S13,SS0125_S15
NODE_3_length_123736_cov_497.957641_54,10507,232,140,3979,247,293
NODE_3_length_123736_cov_497.957641_55,853,11,0,301,8,3
NODE_3_length_123736_cov_497.957641_56,5222,125,32,1743,185,233
NODE_3_length_123736_cov_497.957641_57,13461,223,62,4274,144,166
NODE_3_length_123736_cov_497.957641_58,925,22,10,188,24,44
NODE_3_length_123736_cov_497.957641_59,56,0,1,9,0,0
NODE_3_length_123736_cov_497.957641_60,4571,427,131,2693,642,587
NODE_3_length_123736_cov_497.957641_61,19632,3046,1178,17802,2833,2680
NODE_3_length_123736_cov_497.957641_62,23071,1037,454,25267,1145,1029
NODE_3_length_123736_cov_497.957641_63,577,0,0,248,0,0
NODE_3_length_123736_cov_497.957641_64,2697,250,136,1639,338,315
NODE_3_length_123736_cov_497.957641_65,3396,49,0,3052,25,26
NODE_3_length_123736_cov_497.957641_66,1240,87,15,767,234,405
NODE_3_length_123736_cov_497.957641_67,10968,548,120,4391,720,927
NODE_3_length_123736_cov_497.957641_68,205455,48012,12510,272107,35481,35288
NODE_3_length_123736_cov_497.957641_69,3486,3522,858,2043,3612,4710
NODE_3_length_123736_cov_497.957641_70,12242,1779,510,5086,983,873
NODE_3_length_123736_cov_497.957641_71,523,25,24,152,42,56
NODE_3_length_123736_cov_497.957641_72,11661,938,225,7926,501,495
NODE_3_length_123736_cov_497.957641_73,665,18,0,327,0,6
NODE_3_length_123736_cov_497.957641_74,9103,41,42,5195,60,32
NODE_3_length_123736_cov_497.957641_75,6968,186,101,3583,231,182
NODE_3_length_123736_cov_497.957641_76,7060,1726,917,3196,3804,6336
NODE_3_length_123736_cov_497.957641_77,1556,10,0,629,0,0
NODE_3_length_123736_cov_497.957641_78,1867,13,0,706,17,15
NODE_3_length_123736_cov_497.957641_79,24331,3583,1100,24107,2929,3324
NODE_3_length_123736_cov_497.957641_80,8745,3869,1177,13575,3093,3254
NODE_3_length_123736_cov_497.957641_81,1295882,13389,4180,2206385,22950,26344
NODE_3_length_123736_cov_497.957641_82,6597,1266,291,8746,853,1229
NODE_3_length_123736_cov_497.957641_83,37925,1072,258,40123,871,1403
NODE_3_length_123736_cov_497.957641_84,1965,0,0,596,0,0
NODE_3_length_123736_cov_497.957641_85,4462,899,306,3925,689,616
NODE_3_length_123736_cov_497.957641_86,4107,29,8,2099,35,11
NODE_3_length_123736_cov_497.957641_87,4297,795,223,1722,414,479
NODE_3_length_123736_cov_497.957641_88,902,0,0,219,0,0
NODE_3_length_123736_cov_497.957641_89,4839,697,284,4323,551,523
NODE_3_length_123736_cov_497.957641_90,1286,0,0,219,0,2
NODE_3_length_123736_cov_497.957641_91,875,37,10,289,44,66
NODE_3_length_123736_cov_497.957641_92,51621,48,42,17820,188,16
NODE_5_length_92424_cov_618.323723_1,1509,682,24,1306,460,120
NODE_5_length_92424_cov_618.323723_2,8084,3193,820,9858,3359,3090
NODE_5_length_92424_cov_618.323723_3,17026,4701,1333,18902,4806,3997
NODE_5_length_92424_cov_618.323723_4,607,0,0,285,8,1
NODE_5_length_92424_cov_618.323723_5,3156,220,36,2035,934,122
NODE_5_length_92424_cov_618.323723_6,7222,38,27,7668,308,39
NODE_5_length_92424_cov_618.323723_7,10358,1572,672,10160,2523,2218
NODE_5_length_92424_cov_618.323723_8,1439,0,0,1242,0,0
NODE_5_length_92424_cov_618.323723_9,7546,634,358,7760,941,1340
NODE_5_length_92424_cov_618.323723_10,2735,1339,350,2107,1297,2190
NODE_5_length_92424_cov_618.323723_11,7340,988,383,4855,1231,1672
NODE_5_length_92424_cov_618.323723_12,119,0,0,16,0,0
NODE_5_length_92424_cov_618.323723_14,0,38,92,0,10,19
NODE_5_length_92424_cov_618.323723_15,2,4,10,0,4,7
NODE_5_length_92424_cov_618.323723_16,0,12,20,0,2,1
NODE_5_length_92424_cov_618.323723_17,1,0,0,0,0,0
NODE_5_length_92424_cov_618.323723_18,1,0,0,0,0,0
NODE_5_length_92424_cov_618.323723_20,1,0,0,0,0,0
NODE_5_length_92424_cov_618.323723_21,0,0,0,0,2,0
NODE_5_length_92424_cov_618.323723_22,14,0,0,0,0,0
NODE_5_length_92424_cov_618.323723_23,569,0,0,145,0,0
NODE_5_length_92424_cov_618.323723_24,2916,118,6,992,184,112
NODE_5_length_92424_cov_618.323723_25,3134,795,460,1086,699,357
NODE_5_length_92424_cov_618.323723_26,928,0,0,251,0,4
NODE_5_length_92424_cov_618.323723_27,850,0,0,174,0,0
NODE_5_length_92424_cov_618.323723_28,2951,0,0,2008,0,4
NODE_5_length_92424_cov_618.323723_29,3470,160,108,1351,311,325
NODE_5_length_92424_cov_618.323723_30,20707,5179,2523,31072,7551,7691
NODE_5_length_92424_cov_618.323723_31,890,0,0,289,0,0
NODE_5_length_92424_cov_618.323723_32,695,0,0,183,6,4
NODE_5_length_92424_cov_618.323723_33,8142,6019,2072,6424,4658,11970
NODE_5_length_92424_cov_618.323723_34,10626,141,78,10550,293,284
NODE_5_length_92424_cov_618.323723_35,740,0,0,37,0,0
NODE_5_length_92424_cov_618.323723_36,439,0,0,29,8,0
NODE_5_length_92424_cov_618.323723_37,208,0,0,70,0,6
NODE_5_length_92424_cov_618.323723_38,698,0,0,250,0,0
NODE_5_length_92424_cov_618.323723_39,3017,82,4,1337,99,98
NODE_5_length_92424_cov_618.323723_40,2435,0,0,1553,0,5
NODE_5_length_92424_cov_618.323723_41,2133,680,641,2526,842,715
NODE_5_length_92424_cov_618.323723_42,5261,78,28,3126,217,312
NODE_5_length_92424_cov_618.323723_43,762,11,14,256,20,4
NODE_5_length_92424_cov_618.323723_44,4489,385,68,1598,455,416
NODE_5_length_92424_cov_618.323723_45,498,17,0,148,44,34
NODE_5_length_92424_cov_618.323723_46,262,0,0,64,0,0
NODE_5_length_92424_cov_618.323723_47,13834,108,54,8235,138,168
NODE_5_length_92424_cov_618.323723_48,4635,18,2,2353,4,0
NODE_5_length_92424_cov_618.323723_49,6574,251,94,2866,601,247
