"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"NODE_117345_length_111_cov_255.571429_1",1.48172326453513,3.46086163100032,4.08620758877544,0.846961774655573,0.397016428095822,0.468572358055105,NA
"NODE_117351_length_111_cov_244.375000_1",0.177806791744216,0.40719960008174,4.12789817839455,0.0986457471778316,0.921419546137059,NA,NA
"NODE_117353_length_111_cov_243.446429_1",3.41678948053229,4.66571793118116,4.08295630674761,1.14273031123807,0.253150580750327,0.330215061964723,NA
"NODE_117354_length_111_cov_237.892857_1",5.20726918406904,-0.397813852505509,3.27296552800155,-0.121545384178981,0.903259069764027,0.923324223553304,NA
"NODE_117355_length_111_cov_235.714286_1",3.9256148776878,4.8658232295604,3.78520476180941,1.28548481145692,0.198622920969356,0.268605697468063,NA
"NODE_117361_length_111_cov_225.857143_1",4.99686517946496,5.21385778429805,3.44232327272132,1.51463339472363,0.129865270299802,0.187735913202736,NA
"NODE_117362_length_111_cov_224.803571_1",9.97166199393732,6.21069362980228,2.64137008071447,2.35131520385902,0.0187071792934476,0.0340778156363211,"Significant"
"NODE_117366_length_111_cov_214.714286_1",12.0069841909926,6.47873919087962,2.47269915593637,2.62010814187634,0.00879018873381126,0.0172403354202409,"Significant"
"NODE_117368_length_111_cov_212.678571_1",11.9981012171082,-2.94357062541708,1.5926111040609,-1.84826704894336,0.0645637200702987,0.102275213813886,NA
"NODE_117369_length_111_cov_212.000000_1",0.237075722325621,0.820801012867311,4.11612996953406,0.199410858972518,0.841941366830419,NA,NA
"NODE_117375_length_111_cov_204.125000_1",2.58449783930808,4.26265132177478,4.08375949589576,1.04380567123476,0.296575307211946,0.374288735454397,NA
"NODE_117379_length_111_cov_200.857143_1",0.208071192936614,0.625886904825872,4.12126184574538,0.151867784249625,0.879291217962874,NA,NA
"NODE_117380_length_111_cov_200.535714_1",1.02270402048009,2.92616107343563,4.08878189668968,0.715655945308475,0.474203819685737,NA,NA
"NODE_117381_length_111_cov_197.178571_1",3.5958561440799,4.73936654317938,3.98222749738135,1.19012953084572,0.233995485037071,0.30937535474842,NA
"NODE_117387_length_111_cov_190.178571_1",4.29510078996904,4.99565224897835,3.67410060764813,1.35969391762959,0.173926803693222,0.240077966558609,NA
"NODE_117389_length_111_cov_189.125000_1",0.727619239376453,2.43410327606793,4.09215778458835,0.594821461976641,0.551962819850747,NA,NA
"NODE_117391_length_111_cov_187.696429_1",2.77806676755019,4.3668186925789,4.08352998062884,1.06937348649181,0.284901409417927,0.362964224126029,NA
"NODE_117399_length_111_cov_179.625000_1",28.5946568281882,7.7304654851832,1.866080302009,4.14262209234013,3.43357471916352e-05,0.000103238910323713,"Significant"
"NODE_117400_length_111_cov_178.964286_1",38.8727561884152,8.17352411735064,1.65657976214908,4.93397559484075,8.05725118777722e-07,3.04956675906235e-06,"Significant"
"NODE_117402_length_111_cov_177.964286_1",0.355613583488431,1.40429436646105,4.10430237899564,0.342151780445742,0.732236671194528,NA,NA
"NODE_117403_length_111_cov_177.517857_1",0.177806791744216,0.40719960008174,4.12789817839455,0.0986457471778316,0.921419546137059,NA,NA
"NODE_117405_length_111_cov_176.892857_1",3.50946562233682,4.70385157641554,4.0331778724165,1.16628914598235,0.24349756010151,0.320006502894641,NA
"NODE_117406_length_111_cov_176.250000_1",18.8378525634708,5.74678633857754,1.88062861869549,3.05577947790875,0.00224476288960941,0.00497549931579132,"Significant"
"NODE_117408_length_111_cov_176.035714_1",3.09144029823626,4.52134536717578,4.08321860105166,1.10729936575311,0.268164518477948,0.345944935278315,NA
"NODE_117409_length_111_cov_175.178571_1",0.0296344652907026,-2.06574160181765,4.31846272544665,-0.478351147885385,0.632400297709869,NA,NA
"NODE_117417_length_111_cov_168.339286_1",237.695660713656,-5.25778069154874,0.613488489087153,-8.57030047845253,1.03215367908853e-17,1.09240565010533e-16,"Significant"
"NODE_117423_length_111_cov_164.482143_1",0.148172326453513,0.145290368581801,4.13727094425154,0.0351174410715529,0.97198609402575,NA,NA
"NODE_117429_length_111_cov_156.357143_1",9.15387948688537,6.08725541767077,2.72887048803642,2.23068681506058,0.0257018816112314,0.0451443877416453,"Significant"
"NODE_117436_length_111_cov_151.392857_1",0.711227166976863,2.40278178430341,4.09241404908796,0.587130665539304,0.55711595365706,NA,NA
"NODE_117438_length_111_cov_148.928571_1",0.0296344652907026,-2.06574160181765,4.31846272544665,-0.478351147885385,0.632400297709869,NA,NA
"NODE_117440_length_111_cov_148.392857_1",4.95127724709803,-7.61557614500798,4.22726474883486,-1.80153754200207,0.0716181955964273,0.112190797801101,NA
"NODE_117444_length_111_cov_143.571429_1",4.61786205700894,-3.08527049422964,2.86320953860265,-1.07755665543618,0.281231654352457,0.359859213752796,NA
"NODE_117445_length_111_cov_143.357143_1",2.31715771579006,4.1051183997388,4.08413962192261,1.00513664559938,0.31483105654885,0.392819710551004,NA
"NODE_117446_length_111_cov_143.142857_1",2.18537746173614,4.02043823261437,4.08436175174945,0.984349202391853,0.324943845224576,0.402648842019096,NA
"NODE_117455_length_111_cov_137.982143_1",1.07236873631986,-5.60751662672343,4.2788790074928,-1.3105106774237,0.190023134507685,NA,NA
"NODE_117458_length_111_cov_134.892857_1",0.862549172938854,2.67864098886187,4.0903368220025,0.654870516885818,0.512551124100774,NA,NA
"NODE_117462_length_111_cov_131.589286_1",0.744011311776043,2.46481983466239,4.09191179919287,0.602363871857789,0.546931953129067,NA,NA
"NODE_117468_length_111_cov_127.660714_1",69.3041061897698,9.00769239857696,1.47688568063202,6.09911282687919,1.06658768573486e-09,5.60223196967558e-09,"Significant"
"NODE_117469_length_111_cov_126.892857_1",1.68916452157005,3.6498006895161,4.08550294737336,0.893354070852554,0.371667590395057,0.44605378991849,NA
"NODE_117471_length_111_cov_126.500000_1",42.0037308652783,-5.25178950685539,0.926049869895991,-5.671173527021,1.41822655553408e-08,6.55107705712332e-08,"Significant"
"NODE_117477_length_111_cov_124.517857_1",9.77600351529336,-4.92071627065335,1.97639439152686,-2.48974409750873,0.0127835101761756,0.0241171971171299,"Significant"
"NODE_117480_length_111_cov_123.196429_1",0.505675717647031,1.90754531339784,4.09729766116526,0.465561809550185,0.641529184628867,NA,NA
"NODE_117485_length_111_cov_118.303571_1",2.70051595686411,4.3262017895845,4.08361750913164,1.05940426102846,0.289415709953486,0.367388728062393,NA
"NODE_117495_length_111_cov_112.107143_1",11.3277728210771,-2.51875353569992,3.17093550936661,-0.794325059043235,0.427006219284079,0.496424778069243,NA
"NODE_117498_length_111_cov_110.267857_1",1.84363620704052,3.77503594206172,4.08508417755714,0.924102363129067,0.355433023067705,0.431338885812564,NA
"NODE_117503_length_111_cov_107.232143_1",0.0592689305814052,-1.16730627461453,4.22005714314441,-0.276609115710873,0.782080264396703,NA,NA
"NODE_117504_length_111_cov_107.196429_1",0.0296344652907026,-2.06574160181765,4.31846272544665,-0.478351147885385,0.632400297709869,NA,NA
"NODE_117509_length_111_cov_104.571429_1",0.608451442311947,2.17657378151904,4.09443903385703,0.531592670820323,0.595008142056407,NA,NA
"NODE_117510_length_111_cov_104.357143_1",0.578816977021244,2.10449478922667,4.09515363359679,0.513898861317757,0.607322703657841,NA,NA
"NODE_117519_length_111_cov_98.803571_1",1.02443046111659,0.645208631180744,4.08178661344652,0.158070152186606,0.87440151999235,NA,NA
"NODE_117527_length_111_cov_96.053571_1",4.72889512004525,5.13435663566327,3.51623738288144,1.46018487280169,0.144239271627289,0.20542874901064,NA
"NODE_117533_length_111_cov_94.071429_1",6.51957549447682,5.59776627905007,3.15126546575032,1.77635503574347,0.0756744173162334,0.117738936313221,NA
"NODE_117536_length_111_cov_92.857143_1",1.36318540337232,3.34063401584484,4.08670639439256,0.817439202490441,0.41367748016712,0.484119865179683,NA
"NODE_117538_length_111_cov_92.250000_1",1.99180853349403,3.88665028914355,4.08474035453146,0.951504857544212,0.341348153843402,0.417658210779203,NA
"NODE_117544_length_111_cov_90.017857_1",0.533420375232647,1.98825373318215,4.09638367517286,0.485368044314903,0.627415295966129,NA,NA
"NODE_117551_length_111_cov_87.589286_1",67.2988094223556,4.22663900664035,0.896906718136967,4.7124622005506,2.44741488986466e-06,8.64508213286778e-06,"Significant"
"NODE_117553_length_111_cov_87.446429_1",0.11853786116281,-0.174988312711207,4.15126204729827,-0.0421530394172763,0.966376698374383,NA,NA
"NODE_117558_length_111_cov_85.714286_1",2.11406545505824,-6.47096696107487,4.25229441254945,-1.52175892195461,0.128069497710669,0.185379341971711,NA
"NODE_117565_length_111_cov_84.517857_1",0.415512449971532,1.62659893940981,4.10090718180549,0.396643685725574,0.691630232936284,NA,NA
"NODE_117569_length_111_cov_84.071429_1",1.95029435917542,-1.27981076852961,4.03998298963973,-0.316786177518965,0.751405853197853,0.796463865676793,NA
"NODE_117573_length_111_cov_82.803571_1",0.446406787065626,1.72691549632203,4.09953737354247,0.421246433187112,0.67357514119387,NA,NA
"NODE_117574_length_111_cov_82.607143_1",0.296344652907026,1.14185246843056,4.1090406156575,0.277887851504687,0.781098449856356,NA,NA
"NODE_117583_length_111_cov_80.482143_1",1.92459226001766,-6.32320067980783,4.25714492373227,-1.48531487489607,0.137460433326865,0.196719225112576,NA
"NODE_117592_length_111_cov_77.089286_1",0.296344652907026,1.14185246843056,4.1090406156575,0.277887851504687,0.781098449856356,NA,NA
"NODE_117598_length_111_cov_75.946429_1",2.28626337869597,4.08586980590446,4.08418897639365,1.00041154547954,0.317111384929705,0.395082709858713,NA
"NODE_117600_length_111_cov_75.071429_1",3.46407589002597,4.68543407410263,3.99136387377751,1.17389299053515,0.240437890416175,0.316755503057998,NA
"NODE_117607_length_111_cov_73.178571_1",3.53658034402074,4.71506689301052,3.95067165897582,1.19348488055139,0.232679530039479,0.308213013273508,NA
"NODE_117615_length_111_cov_70.553571_1",4.81411484308924,1.92718305894401,3.09602174111391,0.622470777046494,0.533632353547465,0.601152892161574,NA
"NODE_117616_length_111_cov_70.482143_1",0.207441257034918,0.628775707092687,4.12118066803908,0.152571740416289,0.87873601192175,NA,NA
"NODE_117617_length_111_cov_69.285714_1",28.9589305824972,-3.01695293534873,1.49534213540838,-2.01756699280382,0.0436363773687014,0.0721760514125405,NA
"NODE_117618_length_111_cov_69.250000_1",1.52963960993051,3.50599358009864,4.08603080076358,0.858043845250373,0.390868253221979,0.463188453468229,NA
"NODE_117630_length_111_cov_67.642857_1",0.533420375232647,1.98825373318215,4.09638367517286,0.485368044314903,0.627415295966129,NA,NA
"NODE_117631_length_111_cov_67.285714_1",0.503785909941944,1.90591080276233,4.09731670227962,0.46516072377367,0.641816362963784,NA,NA
"NODE_117633_length_111_cov_67.000000_1",0.0592689305814052,-1.16730627461453,4.22005714314441,-0.276609115710873,0.782080264396703,NA,NA
"NODE_117639_length_111_cov_65.732143_1",0.595209049420835,2.14254132414915,4.09477200577576,0.523238246507266,0.600808468918536,NA,NA
"NODE_117640_length_111_cov_65.428571_1",30.9370991971733,-6.97401201793728,1.38980253945712,-5.01798767806358,5.22155251690484e-07,2.01784049112886e-06,"Significant"
"NODE_117642_length_111_cov_65.178571_1",0.446406787065626,1.72691549632203,4.09953737354247,0.421246433187112,0.67357514119387,NA,NA
"NODE_117646_length_111_cov_63.928571_1",0.765449740866951,2.50661017963539,4.09158540751125,0.612625652402074,0.540123892458015,NA,NA
