Station,Latitude,Longitude,T,Sal,Si,NO3,Phos,Fe,SI_NO3,SI_T
50DCM,-21.4966,56.9011,22.38039017,35.31599045,3.264181137,0.723955691,0.205599666,0.000800288,0.086625619,0.022322512
50SUR,-21.4966,56.9011,26.62388992,35.02738953,2.799277067,0.04779182,0.158301458,0.000410258,0.03404683,0.334816905
51DCM,-21.5043,54.3563,24.76400948,35.12821198,2.82514286,0.046461225,0.135392115,0.0005212,0.027802043,0.138729789
51SUR,-21.5043,54.3563,26.68379974,34.99251175,3.043082714,0.036356859,0.139194652,0.000516114,0.029806183,0.328334305
52DCM,-16.957,53.9801,25.45368958,35.08218765,5.446460247,3.255539656,0.208263233,0.000571509,0.162569025,0.093697195
52SUR,-16.957,53.9801,27.42679024,34.88489914,3.578363657,0.038374152,0.145792961,0.000233128,0.046635936,0.303408241
53SUR,-13.0833,46.971,28.55300903,34.8481102,2.204615116,0.00042962,0.157112777,0.00150797,0.006310835,0.27777521
54SUR,-12.807,45.2247,28.31340981,34.86331177,2.283836126,0.000338869,0.188282087,0.001028864,0.007374448,0.273000847
56SUR,-15.3424,43.2965,27.09209061,34.9296875,4.982539177,0.019215664,0.194039643,0.001177245,0.005620751,0.305155792
57SUR,-17.0248,42.7401,26.45479012,35.0326004,3.444157124,0.024673689,0.212532043,0.00126364,0.007856118,0.306164451
58DCM,-17.4174,42.2547,25.24549103,35.0886879,3.752906561,3.172697067,0.433315337,0.000688098,0.201221178,0.13873188
58SUR,-17.4174,42.2547,26.45479012,35.0326004,3.444157124,0.024673689,0.212532043,0.00126364,0.007856118,0.306164451
5DCM,36.0244,-4.4685,15.9097271,36.62985611,2.267289797,2.266760329,0.254317184,0.001243906,0.143868207,0.301802195
5SUR,36.0244,-4.4685,21.16093,36.59646225,0.392653078,0.475739956,0.095899036,0.001460223,0.143868207,0.301802195
62SUR,-22.3368,40.3412,24.13030052,35.2843895,3.662057877,0.033479467,0.153571963,0.00113432,0.009162694,0.376970326
64DCM,-29.5019,37.9889,21.61128998,35.46131134,3.686075211,0.189709127,0.181055173,0.000335494,0.123903069,0.300420047
64SUR,-29.5019,37.9889,21.96998978,35.4066124,1.496832371,0.46735996,0.153836489,0.000682963,0.025759082,0.394862129
65DCM,-35.1728,26.2868,19.71940041,35.50440979,4.44801569,2.990437746,0.442222387,0.000518113,0.204764283,0.332944299
65SUR,-35.1728,26.2868,19.72850037,35.49419022,4.674983978,2.385184288,0.405158043,0.000861203,0.217230717,0.357352162
66DCM,-34.9449,17.9189,15.96479034,35.3604126,7.251845837,4.402779579,0.650359809,0.000879733,0.417209792,0.288623552
66SUR,-34.9449,17.9189,16.23189926,35.3712883,6.893478394,3.372313499,0.651183009,0.000823205,0.323966291,0.300353686
67SUR,-32.2401,17.7103,15.53289986,35.20608902,4.098195553,3.405024529,0.688681602,0.000677032,0.219871125,0.231500719
68DCM,-31.0266,4.665,16.58469963,35.6548996,4.728992462,1.287541509,0.557431221,0.000112557,0.061850876,0.355502978
68SUR,-31.0266,4.665,16.71690941,35.65801239,4.421644688,0.230036318,0.50466907,9.22E-06,0.011304521,0.361378152
6DCM,36.5207,-4.0074,19.47942352,36.58836365,0.649240692,0.826140632,0.155971318,0.00116132,0.143868207,0.301802195
