gene,SS0127_S17,SS0126_S16,SS0124_S14,SS0125_S15,SS0123_S13,SS0122_S12
NODE_3_length_123736_cov_497.957641_11,46074,9499,40569,10648,9124,5004
NODE_3_length_123736_cov_497.957641_12,154,0,551,0,2,6
NODE_3_length_123736_cov_497.957641_13,1352,653,3606,495,599,220
NODE_3_length_123736_cov_497.957641_14,3047,142,5147,171,143,28
NODE_3_length_123736_cov_497.957641_15,658,0,2002,0,0,0
NODE_3_length_123736_cov_497.957641_16,42,0,70,0,0,0
NODE_3_length_123736_cov_497.957641_17,11,0,20,0,0,0
NODE_3_length_123736_cov_497.957641_18,17,0,30,0,0,0
NODE_3_length_123736_cov_497.957641_19,159,0,539,0,0,0
NODE_3_length_123736_cov_497.957641_20,148,100,405,16,72,37
NODE_3_length_123736_cov_497.957641_21,186,5,522,58,4,6
NODE_3_length_123736_cov_497.957641_22,75,24,582,59,103,6
NODE_3_length_123736_cov_497.957641_23,3041,594,5387,652,661,237
NODE_3_length_123736_cov_497.957641_24,48419,4493,48139,7268,5763,1831
NODE_3_length_123736_cov_497.957641_25,3789,15,3370,116,74,2
NODE_3_length_123736_cov_497.957641_26,2107,154,2453,355,336,52
NODE_3_length_123736_cov_497.957641_27,22275,2103,32554,2432,2325,812
NODE_3_length_123736_cov_497.957641_28,490,0,1299,0,0,0
NODE_3_length_123736_cov_497.957641_29,293,2,947,0,2,0
NODE_3_length_123736_cov_497.957641_30,2809,0,7706,2,2,2
NODE_3_length_123736_cov_497.957641_31,478,6,1684,0,4,0
NODE_3_length_123736_cov_497.957641_32,3467,3717,4367,5051,5241,1584
NODE_3_length_123736_cov_497.957641_33,7052,2023,11625,4134,2889,740
NODE_3_length_123736_cov_497.957641_34,29871,382,20645,267,278,24
NODE_3_length_123736_cov_497.957641_35,70586,1816,42290,3792,2461,611
NODE_3_length_123736_cov_497.957641_36,31797,9238,22869,8366,8046,3040
NODE_3_length_123736_cov_497.957641_37,4926,757,5910,1625,941,187
NODE_3_length_123736_cov_497.957641_38,24302,868,17062,1238,948,285
NODE_3_length_123736_cov_497.957641_39,21100,851,15159,800,923,312
NODE_3_length_123736_cov_497.957641_40,64970,5790,45614,3610,5294,1970
NODE_3_length_123736_cov_497.957641_41,6187,2537,5494,5589,3722,875
NODE_3_length_123736_cov_497.957641_42,1452,164,2976,378,240,45
NODE_3_length_123736_cov_497.957641_43,333,0,930,0,4,0
NODE_3_length_123736_cov_497.957641_44,1696,174,3624,263,256,119
NODE_3_length_123736_cov_497.957641_45,135,4,539,0,0,4
NODE_3_length_123736_cov_497.957641_46,147,0,795,0,6,0
NODE_3_length_123736_cov_497.957641_47,397,0,1232,0,10,6
NODE_3_length_123736_cov_497.957641_48,447,11,950,82,32,4
NODE_3_length_123736_cov_497.957641_49,506,11,805,115,45,4
NODE_3_length_123736_cov_497.957641_50,2070,124,4385,207,143,22
NODE_3_length_123736_cov_497.957641_51,9512,539,11265,970,839,115
NODE_3_length_123736_cov_497.957641_52,146437,62430,97385,49631,42801,23419
NODE_3_length_123736_cov_497.957641_53,326794,31630,194545,37914,37991,11979
NODE_3_length_123736_cov_497.957641_54,3979,232,10507,293,247,140
NODE_3_length_123736_cov_497.957641_55,301,11,853,3,8,0
NODE_3_length_123736_cov_497.957641_56,1743,125,5222,233,185,32
NODE_3_length_123736_cov_497.957641_57,4274,223,13461,166,144,62
NODE_3_length_123736_cov_497.957641_58,188,22,925,44,24,10
NODE_3_length_123736_cov_497.957641_59,9,0,56,0,0,1
NODE_3_length_123736_cov_497.957641_60,2693,427,4571,587,642,131
NODE_3_length_123736_cov_497.957641_61,17802,3046,19632,2680,2833,1178
NODE_3_length_123736_cov_497.957641_62,25267,1037,23071,1029,1145,454
NODE_3_length_123736_cov_497.957641_63,248,0,577,0,0,0
NODE_3_length_123736_cov_497.957641_64,1639,250,2697,315,338,136
NODE_3_length_123736_cov_497.957641_65,3052,49,3396,26,25,0
NODE_3_length_123736_cov_497.957641_66,767,87,1240,405,234,15
NODE_3_length_123736_cov_497.957641_67,4391,548,10968,927,720,120
NODE_3_length_123736_cov_497.957641_68,272107,48012,205455,35288,35481,12510
NODE_3_length_123736_cov_497.957641_69,2043,3522,3486,4710,3612,858
NODE_3_length_123736_cov_497.957641_70,5086,1779,12242,873,983,510
NODE_3_length_123736_cov_497.957641_71,152,25,523,56,42,24
NODE_3_length_123736_cov_497.957641_72,7926,938,11661,495,501,225
NODE_3_length_123736_cov_497.957641_73,327,18,665,6,0,0
NODE_3_length_123736_cov_497.957641_74,5195,41,9103,32,60,42
NODE_3_length_123736_cov_497.957641_75,3583,186,6968,182,231,101
NODE_3_length_123736_cov_497.957641_76,3196,1726,7060,6336,3804,917
NODE_3_length_123736_cov_497.957641_77,629,10,1556,0,0,0
NODE_3_length_123736_cov_497.957641_78,706,13,1867,15,17,0
NODE_3_length_123736_cov_497.957641_79,24107,3583,24331,3324,2929,1100
NODE_3_length_123736_cov_497.957641_80,13575,3869,8745,3254,3093,1177
NODE_3_length_123736_cov_497.957641_81,2206385,13389,1295882,26344,22950,4180
NODE_3_length_123736_cov_497.957641_82,8746,1266,6597,1229,853,291
NODE_3_length_123736_cov_497.957641_83,40123,1072,37925,1403,871,258
NODE_3_length_123736_cov_497.957641_84,596,0,1965,0,0,0
NODE_3_length_123736_cov_497.957641_85,3925,899,4462,616,689,306
NODE_3_length_123736_cov_497.957641_86,2099,29,4107,11,35,8
NODE_3_length_123736_cov_497.957641_87,1722,795,4297,479,414,223
NODE_3_length_123736_cov_497.957641_88,219,0,902,0,0,0
NODE_3_length_123736_cov_497.957641_89,4323,697,4839,523,551,284
NODE_3_length_123736_cov_497.957641_90,219,0,1286,2,0,0
NODE_3_length_123736_cov_497.957641_91,289,37,875,66,44,10
NODE_3_length_123736_cov_497.957641_92,17820,48,51621,16,188,42
NODE_5_length_92424_cov_618.323723_1,1306,682,1509,120,460,24
NODE_5_length_92424_cov_618.323723_2,9858,3193,8084,3090,3359,820
NODE_5_length_92424_cov_618.323723_3,18902,4701,17026,3997,4806,1333
NODE_5_length_92424_cov_618.323723_4,285,0,607,1,8,0
NODE_5_length_92424_cov_618.323723_5,2035,220,3156,122,934,36
NODE_5_length_92424_cov_618.323723_6,7668,38,7222,39,308,27
NODE_5_length_92424_cov_618.323723_7,10160,1572,10358,2218,2523,672
NODE_5_length_92424_cov_618.323723_8,1242,0,1439,0,0,0
NODE_5_length_92424_cov_618.323723_9,7760,634,7546,1340,941,358
NODE_5_length_92424_cov_618.323723_10,2107,1339,2735,2190,1297,350
NODE_5_length_92424_cov_618.323723_11,4855,988,7340,1672,1231,383
NODE_5_length_92424_cov_618.323723_12,16,0,119,0,0,0
NODE_5_length_92424_cov_618.323723_14,0,38,0,19,10,92
NODE_5_length_92424_cov_618.323723_15,0,4,2,7,4,10
NODE_5_length_92424_cov_618.323723_16,0,12,0,1,2,20
NODE_5_length_92424_cov_618.323723_17,0,0,1,0,0,0
NODE_5_length_92424_cov_618.323723_18,0,0,1,0,0,0
NODE_5_length_92424_cov_618.323723_20,0,0,1,0,0,0
NODE_5_length_92424_cov_618.323723_21,0,0,0,0,2,0
NODE_5_length_92424_cov_618.323723_22,0,0,14,0,0,0
NODE_5_length_92424_cov_618.323723_23,145,0,569,0,0,0
NODE_5_length_92424_cov_618.323723_24,992,118,2916,112,184,6
NODE_5_length_92424_cov_618.323723_25,1086,795,3134,357,699,460
NODE_5_length_92424_cov_618.323723_26,251,0,928,4,0,0
NODE_5_length_92424_cov_618.323723_27,174,0,850,0,0,0
NODE_5_length_92424_cov_618.323723_28,2008,0,2951,4,0,0
NODE_5_length_92424_cov_618.323723_29,1351,160,3470,325,311,108
NODE_5_length_92424_cov_618.323723_30,31072,5179,20707,7691,7551,2523
NODE_5_length_92424_cov_618.323723_31,289,0,890,0,0,0
NODE_5_length_92424_cov_618.323723_32,183,0,695,4,6,0
NODE_5_length_92424_cov_618.323723_33,6424,6019,8142,11970,4658,2072
NODE_5_length_92424_cov_618.323723_34,10550,141,10626,284,293,78
NODE_5_length_92424_cov_618.323723_35,37,0,740,0,0,0
NODE_5_length_92424_cov_618.323723_36,29,0,439,0,8,0
NODE_5_length_92424_cov_618.323723_37,70,0,208,6,0,0
NODE_5_length_92424_cov_618.323723_38,250,0,698,0,0,0
NODE_5_length_92424_cov_618.323723_39,1337,82,3017,98,99,4
NODE_5_length_92424_cov_618.323723_40,1553,0,2435,5,0,0
NODE_5_length_92424_cov_618.323723_41,2526,680,2133,715,842,641
NODE_5_length_92424_cov_618.323723_42,3126,78,5261,312,217,28
NODE_5_length_92424_cov_618.323723_43,256,11,762,4,20,14
NODE_5_length_92424_cov_618.323723_44,1598,385,4489,416,455,68
NODE_5_length_92424_cov_618.323723_45,148,17,498,34,44,0
NODE_5_length_92424_cov_618.323723_46,64,0,262,0,0,0
NODE_5_length_92424_cov_618.323723_47,8235,108,13834,168,138,54
NODE_5_length_92424_cov_618.323723_48,2353,18,4635,0,4,2
NODE_5_length_92424_cov_618.323723_49,2866,251,6574,247,601,94
NODE_5_length_92424_cov_618.323723_50,4902,119,9531,270,337,51
NODE_5_length_92424_cov_618.323723_51,4957,211,12741,270,298,82
NODE_5_length_92424_cov_618.323723_52,1754,0,2186,0,0,4
NODE_5_length_92424_cov_618.323723_53,1629,0,2188,0,0,0
NODE_5_length_92424_cov_618.323723_54,231,0,587,0,0,0
NODE_5_length_92424_cov_618.323723_55,44394,31140,51325,15503,15513,9531
NODE_5_length_92424_cov_618.323723_56,2516,0,4509,4,6,150
NODE_5_length_92424_cov_618.323723_57,2574,130,4784,69,223,147
NODE_5_length_92424_cov_618.323723_58,271,0,691,0,0,0
NODE_5_length_92424_cov_618.323723_59,14566,1803,13366,1452,2079,904
NODE_5_length_92424_cov_618.323723_60,15236,479,17019,1271,887,368
NODE_5_length_92424_cov_618.323723_61,65082,2993,44632,3552,3100,1191
NODE_5_length_92424_cov_618.323723_62,41223,14636,28836,14289,13171,5947
NODE_5_length_92424_cov_618.323723_63,4129,0,2706,0,2,0
NODE_5_length_92424_cov_618.323723_64,7124,10659,6072,5965,7608,2757
NODE_5_length_92424_cov_618.323723_65,353,0,1411,10,0,0
NODE_5_length_92424_cov_618.323723_66,254,142,942,262,134,57
NODE_5_length_92424_cov_618.323723_67,17499,3048,15755,4278,4162,1079
NODE_5_length_92424_cov_618.323723_68,3335,0,3822,2,1,0
NODE_5_length_92424_cov_618.323723_69,1865,0,3245,0,0,14
NODE_5_length_92424_cov_618.323723_70,6461,161,10793,395,317,222
NODE_5_length_92424_cov_618.323723_71,2003,335,3339,862,569,98
NODE_5_length_92424_cov_618.323723_72,4000,248,5580,352,246,112
NODE_5_length_92424_cov_618.323723_73,140,0,343,0,2,0
NODE_5_length_92424_cov_618.323723_74,4173,572,7060,1352,939,241
NODE_5_length_92424_cov_618.323723_75,22059,2014,20107,1721,1784,627
NODE_7_length_88770_cov_446.852708_1,22025,309,26119,179,193,172
NODE_7_length_88770_cov_446.852708_2,2841,273,4044,524,602,133
NODE_7_length_88770_cov_446.852708_3,6613,898,5952,1362,1667,475
NODE_7_length_88770_cov_446.852708_4,149,2,335,0,0,0
NODE_7_length_88770_cov_446.852708_5,57162,14366,38651,13439,12376,4364
